,Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum
489,Corpus Christi Rehabilitation Hospital,5726 Esplanade Drive,NUECES,Corpus Christi,NA,NA,200,NA,NA,NA,200
490,Coryell Health Medical Clinic,1507 W Main St,CORYELL,Gatesville,NA,300,200,NA,NA,975,1475
491,County of Yoakum,412 Mustang Ave.,YOAKUM,Denver City,NA,NA,300,NA,NA,NA,300
492,Covenant Children Hospital,4015 22nd Pl,LUBBOCK,Lubbock,NA,700,100,NA,NA,NA,800
493,Covenant Health Pharmacy,3615 19th St MS 108,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400
494,Covenant Healthplus,7601 Quaker Ave-Suite 100,LUBBOCK,Lubbock,NA,500,NA,NA,NA,NA,500
495,Covenant Hospital Levelland,1900 College Avenue,HOCKLEY,Levelland,NA,200,NA,NA,NA,NA,200
496,Covenant Hospital Plainview,2601 Dimmitt Rd,HALE,Plainview,NA,1000,NA,NA,NA,NA,1000
497,Covenant Medical Center,3615 19th St,LUBBOCK,Lubbock,2925,975,700,NA,NA,NA,4600
498,COVENANT MEDICAL GROUP,9812 SLIDE ROAD,LUBBOCK,Lubbock,NA,3000,NA,NA,NA,NA,3000
499,Covenant Medical Group-Northwest Clinic,611 N Frankford Ave,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400
500,Crane County Rural Health Clinic,1310 S Alford St,CRANE,Crane,NA,100,NA,NA,NA,975,1075
501,Crescent Medical Center Lancaster,2600 W Pleasant Run Rd,DALLAS,Lancaster,NA,NA,NA,200,NA,NA,200
502,Crosbyton Clinic Hosptital,710 W Main St,CROSBY,Crosbyton,NA,100,NA,NA,NA,975,1075
503,Cuero-Dewitt County Health Department,115 N Gonzales St Ste B,DEWITT,Cuero,NA,NA,100,NA,NA,NA,100
504,Cuero Regional Hospital,2550 N. Esplanade,DE WITT,Cuero,NA,200,NA,NA,NA,NA,200
505,Cumberland Surgical Hospital,5330 North Loop 1604 West,BEXAR,San Antonio,NA,NA,NA,NA,200,NA,200
506,Dallas County Health And Human Services,2377 N Stemmons Fwy,DALLAS,Dallas,NA,NA,NA,NA,6000,NA,6000
507,Dallas Medical Center,7 Medical Parkway,DALLAS,Dallas,NA,200,200,NA,NA,NA,400
508,Dallas Regional Medical Center,1011 N Galloway Ave,DALLAS,Mesquite,NA,500,300,NA,NA,NA,800
509,Davam Urgent Care,6022 Fm 1488 Rd,MONTGOMERY,Magnolia,NA,NA,NA,100,NA,NA,100
510,Davila Pharmacy,1423 Guadalupe,BEXAR,San Antonio,NA,200,NA,NA,200,NA,400
511,Dawson County Hospital District,2200 North Bryan Avenue,DAWSON,Lamesa,NA,NA,100,100,100,NA,300
512,Deaf Smith County Hospital District Employee Health,540 W 15th St,DEAF SMITH,Hereford,NA,NA,300,NA,NA,NA,300
513,"Deer Park Family Clinic, P.A.",2910 Center St,HARRIS,Deer Park,NA,100,NA,100,NA,NA,200
514,Del Sol Campus Of Lpds,10301 Gateway Blvd W,EL PASO,El Paso,NA,NA,300,1000,NA,NA,1300
515,Del Sol Campus Of Lpds,NA,EL PASO,El Paso,975,NA,NA,NA,NA,NA,975
516,Deliverit Pharmacy Clear Lake,600 N Kobayashi,HARRIS,Webster,NA,100,NA,NA,NA,NA,100
517,"DeliverIt Pharmacy Inc.,",13303 West Airport Blvd,FORT BEND,Sugar Land,NA,100,NA,NA,NA,NA,100
518,Dell Childrens Medical Center Of Central Texas,4900 Mueller Blvd,TRAVIS,Austin,NA,NA,1200,NA,NA,NA,1200
519,Dell Childrens Medical Center Of Central Texas,NA,TRAVIS,Austin,1950,NA,NA,NA,NA,NA,1950
520,Dell Seton Medical Center At University Of Texas,1500 Red River St,TRAVIS,Austin,NA,NA,700,NA,NA,NA,700
521,Dell Seton Medical Center At University Of Texas,NA,TRAVIS,Austin,1950,NA,NA,NA,NA,NA,1950
522,Denton County Public Health,190 N. Valley Pkwy.,DENTON,Lewisville,NA,NA,NA,NA,3500,NA,3500
523,Denton County Public Health - Denton,535 S. Loop 288,DENTON,Denton,NA,1000,NA,NA,NA,NA,1000
524,Denton County Public Health Lewisville,190 N. Valley Pkwy.,DENTON,Lewisville,NA,NA,100,NA,NA,NA,100
525,Denton State Supported Living Center,3980 State School Rd,DENTON,Denton,NA,NA,400,NA,NA,NA,400
526,Dept of Public Health-Remcon,7380 Remcon Circle,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300
527,Dept Public Health-Alameda,9341 Alameda,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300
528,Dept Public Health-Railroad,9566 Railroad,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300
529,Dept Public Health-Stanton,220 S. Stanton,EL PASO,El Paso,NA,300,NA,NA,NA,NA,300
530,Derm Surgery Associates,7515 Main St Ste 240,HARRIS,Houston,NA,500,NA,NA,NA,NA,500
531,DeTar Healtcare System,506 E. San Antonio,VICTORIA,Victoria,NA,1000,800,NA,NA,NA,1800
532,Dewitt Family Practice,3020 Garrett Dr,OCHILTREE,Perryton,NA,NA,NA,NA,100,NA,100
533,Diabetes and Thyroid Center of Fort Worth,7801 Oakmont Blvd,TARRANT,Fort Worth,NA,500,NA,NA,NA,NA,500
534,Diagnostic Clinic of Longview,707 Hollybrook Drive,GREGG,Longview,NA,400,NA,NA,NA,NA,400
535,DIANA LOZANO MD PA,5505 S Expressway 77,CAMERON,Harlingen,NA,NA,NA,100,NA,NA,100
536,Dimmit Regional Hospital,704 Hospital Dr,DIMMIT,Carrizo Springs,NA,NA,200,NA,NA,975,1175
537,Dimmit Regional Hospital dba Luevano Health Care,504 Hospital Drive,DIMMIT,Carrizo Springs,NA,NA,NA,100,NA,NA,100
538,"DIsmukesRx, LLC",511 East Davis Street,CALDWELL,Luling,NA,NA,NA,100,NA,NA,100
539,Divine Grace Pharmacy,1970 Us Highway 259 S,UPSHUR,Diana,NA,NA,100,300,NA,NA,400
540,Doctors Hospital at Renaissance,5501 South McColl Road,HIDALGO,Edinburg,5850,3000,800,NA,6500,6825,22975
541,Donald Freitag MD,2600 Lockwood St Ste A,LYNN,Tahoka,NA,NA,NA,100,NA,NA,100
542,Dougherty's Pharmacy,5959 Royal Ln Ste 515,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
543,Doughertys Pharmacy,5959 Royal Ln Ste 515,DALLAS,Dallas,NA,500,NA,NA,NA,NA,500
544,Dr Van Tran Family Practice,1919 North Loop West,HARRIS,Houston,NA,500,NA,NA,NA,NA,500
545,Dr. Karen Soriano,9812 Slide Rd,LUBBOCK,Lubbock,NA,NA,NA,100,NA,NA,100
546,Dripping Springs Pharmacy,100 Commons Rd Suite 1,HAYS,Dripping Springs,NA,NA,NA,100,NA,NA,100
547,Driscoll Health System,3533 S. Alameda,NUECES,Corpus Christi,NA,1000,NA,1000,NA,975,2975
548,"Driven MD, PLLC",8501 Wade Blvd,DENTON,Frisco,NA,200,NA,NA,NA,NA,200
549,DSHS Abilene,4601 S 1st St,TAYLOR,Abilene,NA,NA,NA,NA,500,NA,500
550,DSHS Anson,2062 Us Hwy 277 North,JONES,Anson,NA,NA,NA,100,NA,100,200
551,DSHS Archer City,511 S. Cedar,ARCHER,Archer City,NA,NA,NA,100,NA,100,200
552,DSHS Ballinger,2017 Hutchins Avenue,RUNNELS,Ballinger,NA,NA,NA,100,NA,100,200
553,DSHS Bastrop,104 Loop 150 W,BASTROP,Bastrop,NA,100,100,NA,NA,NA,200
554,DSHS Bellville Clinic,602 E Hacienda St,AUSTIN,Bellville,NA,NA,NA,NA,NA,100,100
555,DSHS CENTRAL PHARMACY WAREHOUSE,1111 NORTH LOOP,TRAVIS,Austin,NA,1000,NA,1000,2900,NA,4900
556,DSHS Cleburne,108 E Kilpatrick St,JOHNSON,Cleburne,NA,NA,NA,NA,NA,100,100
557,DSHS Columbus Clinic,1220 Bowie St,COLORADO,Columbus,NA,NA,NA,100,NA,NA,100
558,Dshs Falfurrias,1200 E Highway 285,BROOKS,Falfurrias,NA,NA,NA,NA,NA,200,200
559,DSHS Gainesville,1714 Justice Center Blvd,COOKE,Gainesville,NA,NA,NA,NA,100,NA,100
560,Dshs Goliad,329 W. Franklin,GOLIAD,Goliad,NA,NA,NA,NA,100,NA,100
561,DSHS Granbury,214 N Travis St,HOOD,Granbury,NA,NA,NA,NA,NA,100,100
562,Dshs Hsr 2/3 Hq - Arlington (Re),1301 S Bowen Rd,TARRANT,Arlington,NA,NA,NA,NA,NA,100,100
563,Dshs Hsr 6/5s-Bay City,1700 Merlin St,MATAGORDA,Bay City,NA,500,NA,NA,NA,NA,500
564,Dshs Hsr 6/5s Hq - Houston (Re),5425 Polk St Ste 420,HARRIS,Houston,NA,NA,NA,NA,NA,600,600
565,Dshs HSR 8 Hq - San Antonio (Re),7430 Louis Pasteur Dr,BEXAR,San Antonio,NA,NA,NA,NA,1000,700,1700
566,DSHS Kaufman,2525 E. Hwy 175,KAUFMAN,Kaufman,NA,NA,NA,NA,NA,100,100
567,DSHS Kingsville,100 West King Avenue,KLEBERG,Kingsville,NA,NA,NA,NA,NA,100,100
568,DSHS Lampasas,205 Water Street,LAMPASAS,Lampasas,NA,NA,NA,100,NA,NA,100
569,Dshs Livingston,410 E Church St,POLK,Livingston,NA,NA,NA,NA,NA,200,200
570,Dshs Marfa,205 E El Paso St,PRESIDIO,Marfa,NA,NA,NA,NA,100,200,300
571,DSHS Marlin,217 Williams St,FALLS,Marlin,NA,NA,NA,NA,NA,300,300
572,DSHS Midland,1101 N. Midland Dr.,MIDLAND,Midland,NA,NA,NA,NA,NA,200,200
573,DSHS Mineral Wells,4113 Highway 180 E,PALO PINTO,Mineral Wells,NA,NA,NA,100,NA,100,200
574,DSHS Mobile Nurse Alice,408 Flournoy Rd,JIM WELLS,Alice,NA,NA,NA,NA,NA,200,200
575,Dshs Mobile Nurse Corpus,5155 Flynn Pkwy Ste 419,NUECES,Corpus Christi,NA,100,NA,NA,NA,200,300
576,DSHS PHR 11,601 W. Sesame Drive,CAMERON,Harlingen,NA,NA,NA,NA,1000,NA,1000
577,DSHS PHR 4/5N HQ - Tyler (RE),2521 W Front St,SMITH,Tyler,NA,NA,NA,100,1000,700,1800
578,Dshs Phr 9 /10 Hq - El Paso (Re),401 E Franklin Ave Ste 210,EL PASO,El Paso,NA,NA,NA,NA,NA,200,200
579,Dshs Phr 9/10 Brady,1004 S Bridge St,MCCULLOCH,Brady,NA,100,NA,NA,NA,100,200
580,Dshs raymondville,174 s. 13 th,WILLACY,Raymondville,NA,NA,NA,100,NA,200,300
581,Dshs Rio Grande City,608 N Garza St,STARR,Rio Grande City,NA,200,100,NA,NA,100,400
582,Dshs Sonora Clinic,103 E Main St,SUTTON,Sonora,NA,NA,NA,NA,100,NA,100
583,DSHS Uvalde,112 Joe Carper Dr,UVALDE,Uvalde,NA,NA,NA,NA,NA,200,200
584,DSHS Vernon,1531 Cumberland St,WILBARGER,Vernon,NA,NA,NA,100,NA,NA,100
585,Dshs Zapata,1305 Kennedy Street,ZAPATA,Zapata,NA,100,NA,NA,NA,200,300
586,E.A. Squatty Lyons Health Center,1712 1st St E Ste M20,HARRIS,Humble,NA,200,NA,NA,NA,NA,200
587,Eagle Pharmacy,1404 S Main St,SMITH,Lindale,NA,500,NA,NA,NA,NA,500
588,Eagle Pharmacy,700 S. College Ave,ARCHER,Holliday,NA,100,NA,NA,NA,NA,100
589,East Belt Family Medicine,5402 E Sam Houston Pkwy N,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
590,East Texas Community Health Services,1309 S. University Dr.,NACOGDOCHES,Nacogdoches,NA,NA,NA,100,NA,NA,100
591,Eastland Memorial Hospital,Po Box 897,EASTLAND,Eastland,NA,NA,300,NA,100,NA,400
592,Edinburg Cisd School Based Health Center,1601 E Sprague St,HIDALGO,Edinburg,NA,500,NA,NA,NA,NA,500
593,Edinburg Regional Medical Center,1102 W. Trenton Road,CAMERON,Edinburg,NA,1400,NA,NA,NA,NA,1400
594,Edinburg Regional Medical Center,1102 W. Trenton Road,HIDALGO,Edinburg,NA,NA,100,NA,NA,NA,100
595,Eduardo Guzman Md,2308 Hwy 83 Ste F,HIDALGO,Penitas,NA,NA,NA,100,NA,NA,100
596,El Campo Memorial Hospital,303 Sandy Corner Rd,WHARTON,El Campo,NA,NA,300,NA,100,NA,400
597,El Campo Memorial Hospital Rhc,1403 Valhalla Dr,WHARTON,Wharton,NA,NA,NA,NA,200,NA,200
598,El Centro De Corazon Magnolia Clinic,7037 Capitol St,HARRIS,Houston,NA,NA,NA,NA,NA,100,100
599,El Indio Hwy Clinic,4018 El Indio Hwy,MAVERICK,Eagle Pass,NA,100,NA,NA,NA,NA,100
600,El Paso Children's Hospital,4845 Alameda Ave,EL PASO,El Paso,NA,700,NA,700,NA,NA,1400
601,El Paso Drive Iz Clinic El Paso Dph,5115 El Paso Dr,EL PASO,El Paso,NA,NA,NA,100,NA,NA,100
602,El Paso Fire Department,301 George Perry,EL PASO,El Paso,NA,NA,NA,NA,5000,NA,5000
603,El Paso Fire Department,6800 Delta,EL PASO,El Paso,NA,900,NA,NA,NA,NA,900
604,El Paso Psychiatric Center,4615 Alameda Ave,EL PASO,El Paso,NA,200,100,NA,NA,NA,300
605,El Paso Pulmonary Association - El Paso ,4305 N. Mesa Ste A 4305 N Mesa St,EL PASO,El Paso,NA,100,NA,NA,NA,NA,100
606,"El Paso Wellness Associates, LLC",1600 N Lee Trevino,EL PASO,El Paso,NA,NA,NA,100,NA,NA,100
607,Electra Memorial Hospital,1207 S Bailey St,WICHITA,Electra,NA,300,NA,NA,NA,NA,300
608,Elm Avenue Community & Dental Clinic,609 Elm St,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100
609,Emergency Care Of East Houston,15119 Wallisville Road,HARRIS,Houston,NA,NA,NA,NA,100,NA,100
610,"Emergency Hospital Systems, LLC",300 E Crockett,LIBERTY,Cleveland,NA,NA,NA,NA,NA,975,975
611,Encompass Health Rehabilitation Hospital of Abilene,6401 Directors Parkway,TAYLOR,Abilene,NA,NA,200,NA,NA,NA,200
612,"Encompass Health Rehabilitation Hospital of Katy,",23331 Grand Reserve Dr,HARRIS,Katy,NA,100,100,NA,NA,NA,200
613,Encompass Rehabilitation Hospital of Pearland,2121 Business Center Drive,BRAZORIA,Pearland,NA,NA,100,NA,NA,NA,100
614,Endeavor Clinical Trials,8042 Wurzbach,BEXAR,San Antonio,NA,300,NA,NA,NA,NA,300
615,Ennis Regional Medical Center,2201 W Lampasas St,ELLIS,Ennis,NA,NA,200,100,NA,NA,300
616,Envoy Hospice,"3180 College St,",JEFFERSON,Beaumont,NA,NA,NA,NA,100,NA,100
617,EP FAMILY DOCTOR,2270 Joe Battle Suite M-N,EL PASO,El Paso,NA,500,NA,NA,NA,NA,500
618,Eubank Drug LLC,1510 N BRAZOS ST,HILL,Whitney,NA,NA,NA,100,NA,NA,100
619,"Excel Urgent Care, PLLC",25801 Hwy 290,HARRIS,Cypress,NA,100,NA,NA,NA,NA,100
620,Fairfield Family Physicians,15201 Mason Rd Ste 1200,HARRIS,Cypress,NA,NA,NA,100,NA,NA,100
621,Fairview Dermatology,331 Town Pl,COLLIN,McKinney,NA,300,NA,NA,NA,NA,300
622,Fairway Medical Clinic 2,7701 W Bellfort St Ste 102,HARRIS,Houston,NA,200,NA,NA,NA,NA,200
623,Falls Community Hospital & Clinic,322 Coleman St,FALLS,Marlin,NA,NA,100,NA,NA,975,1075
624,Family 1st Care,1615 Hospital Blvd Ste A,COOKE,Gainesville,NA,100,NA,500,NA,NA,600
625,Family Care Clinic Of Bushland,1600 S Fm 2381,POTTER,Amarillo,NA,NA,NA,100,NA,NA,100
626,Family Circle Of Care Athens,1001 N Palestine St,HENDERSON,Athens,NA,NA,NA,NA,NA,100,100
627,Family Emergency Rooms Cedar Park,3620 E. WHITESTONE BLVD.,WILLIAMSON,Cedar Park,NA,500,NA,NA,300,6000,6800
628,Family First Urgent Care,2510 S Loop 336 W,MONTGOMERY,Conroe,NA,NA,NA,100,NA,NA,100
629,Family Health And Wellness At Lake Aire,2423 Williams Dr,WILLIAMSON,Georgetown,NA,NA,NA,NA,NA,100,100
630,Family Health Center - Perryton,3019 S Main St,OCHILTREE,Perryton,NA,100,NA,NA,NA,NA,100
631,Family Health Center - Waco,1600 Providence Dr,MCLENNAN,Waco,NA,NA,NA,NA,NA,100,100
632,Family Health Center Llp,2768 Pharmacy Rd,STARR,Rio Grande City,NA,100,NA,NA,NA,NA,100
633,Family Health Center Of Bastrop,3101 Highway 71 E Ste 101,BASTROP,Bastrop,NA,NA,NA,NA,100,NA,100
634,Family Health Clinic Arlington,1115 E Pioneer Pkwy,TARRANT,Arlington,NA,NA,NA,100,NA,NA,100
635,Family Health services of Alpine,406 S Summer st,BREWSTER,Alpine,NA,400,NA,NA,NA,NA,400
636,Family Healthcare - Denton,3105 Colorado Blvd,DENTON,Denton,NA,NA,NA,200,NA,NA,200
637,Family Healthcare Of Bovina,1100 Highway 86,PARMER,Bovina,NA,NA,NA,200,NA,NA,200
638,Family Life Medical,508 Medical Center Blvd,MONTGOMERY,Conroe,NA,500,NA,NA,NA,NA,500
639,Family Medical And Specialty Clinic,2790 Pharmacy Rd Ste B,STARR,Rio Grande City,NA,100,NA,NA,NA,NA,100
640,Family Medicine Assoc Of Round Rock,7200 Wyoming Springs Dr Ste 600,WILLIAMSON,Round Rock,NA,NA,NA,300,NA,NA,300
641,Family Medicine Associates of El Paso,9398 Viscount Blvd,EL PASO,El Paso,NA,500,NA,200,NA,NA,700
642,Family Medicine At Sterling Ridge,10110 Woodlands Pkwy,MONTGOMERY,Spring,NA,NA,NA,100,NA,NA,100
643,Family Medicine Center - Groesbeck,701 Mcclintic Dr,LIMESTONE,Groesbeck,NA,NA,NA,NA,100,NA,100
644,Family Medicine Clinic - Pearsall,151 Medical Dr,FRIO,Pearsall,NA,200,NA,300,NA,NA,500
645,Family Medicine Specialists,21800 Katy Fwy,HARRIS,Katy,NA,500,NA,NA,NA,NA,500
646,Family Pharmacy,1720 Hillcrest Dr,WILBARGER,Vernon,NA,NA,NA,100,NA,NA,100
647,"FAMILY PHYSICIANS CLINIC, LLP",606 S BROADWAY ST,HIDALGO,McAllen,NA,500,NA,NA,NA,NA,500
648,Family Practice Associates,220 Wesley Dr,KERR,Kerrville,NA,NA,NA,100,NA,NA,100
649,Family Practice Rural Health Clinic,303 N Brown St,HAMILTON,Hamilton,NA,300,NA,NA,NA,NA,300
650,Family Wellness Clinic,1809 Lockwood Ave,LYNN,Tahoka,NA,NA,NA,100,NA,NA,100
651,Family Wellness Clinic Ut Austin School Of Nursing,2901 N Interstate 35 Ste 1.301,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200
652,Familyfirst Healthcare,5915 82nd St,LUBBOCK,Lubbock,NA,400,NA,NA,NA,NA,400
653,Farmers Branch Fire Department,13333 Hutton Dr,DALLAS,Farmers Branch,NA,100,NA,NA,NA,NA,100
654,Father Joseph Obrien Health Clinic,142 Champion Ave,CAMERON,Port Isabel,NA,NA,NA,100,NA,NA,100
655,FE Medical Services PLLC Cllge Stn,Reynolds Medical Building Suite 159,BRAZOS,College Station,NA,NA,NA,NA,NA,975,975
656,First Baptist Medical Center Dallas,8111 Meadow Road,DALLAS,Dallas,NA,NA,100,NA,NA,NA,100
657,"First Medical Response of Texas, Inc",854 Wild Rose Drive,TRAVIS,Austin,NA,1000,NA,NA,NA,NA,1000
658,Fisher County Hospital District,774 State Highway 70 N,FISHER,Rotan,NA,NA,NA,NA,200,NA,200
659,Flower Mound Fire Department,3911 S. Broadway Ave,DENTON,Flower Mound,NA,500,NA,NA,NA,NA,500
660,Foard County Clinic,200 North 1st Street,FOARD,Crowell,NA,NA,NA,NA,100,NA,100
661,Fondren Orthopedic Group LLP,7401 Main Street,HARRIS,Houston,NA,NA,NA,300,NA,NA,300
662,Fort Bend Pediatrics,4646 Riverstone Blvd,FORT BEND,Missouri City,NA,100,NA,NA,NA,NA,100
663,Fort Duncan Regional Medical Center,3333 N Foster Maldonado Blvd,MAVERICK,Eagle Pass,NA,NA,NA,NA,1200,NA,1200
664,Fort Duncan Regional Medical Center - Eagle Pass,3333 N Foster Maldonado Blvd,MAVERICK,Eagle Pass,NA,NA,NA,NA,NA,1200,1200
665,Foundation Surgical Hospital Of San Antonio,9522 Huebner Rd,BEXAR,San Antonio,NA,500,NA,NA,NA,NA,500
666,Fox Rural Health Clinic,1001 Us Highway 83 N,CHILDRESS,Childress,NA,100,NA,200,NA,NA,300
667,Frank S Parma Md,2700 Citizens Plz Ste 202,VICTORIA,Victoria,NA,NA,NA,100,NA,NA,100
668,Franklin County Rural Health Clinic,506 Texas Highway 37,FRANKLIN,Mount Vernon,NA,NA,NA,100,NA,NA,100
669,Freedom Urgent Care,300 W Central Texas Exwpy Ste 115,BELL,Harker Heights,NA,100,NA,NA,NA,NA,100
670,Freeport Community Health Network- 061447,905 N Gulf Blvd Ste 100,BRAZORIA,Freeport,NA,100,NA,NA,NA,NA,100
671,Freestone Medical Center DBA Freestone Health Clinic,734 West Commerce,FREESTONE,Fairfield,NA,100,NA,NA,NA,NA,100
672,Fresenius Dickinson Dialysis,3800 Hughes Ct,GALVESTON,Dickinson,NA,NA,NA,NA,NA,975,975
673,Fresenius Kidney Care,1202 Central Texas Expressway,LAMPASAS,Lampasas,NA,NA,NA,100,NA,NA,100
674,Fresh By Brookshires Pharmacy 801,6991 Old Jacksonville Hwy,SMITH,Tyler,NA,NA,NA,100,NA,NA,100
675,Friendly Neighborhood Health Clinic Pllc,617 E Loop 499,CAMERON,Harlingen,NA,NA,NA,200,NA,NA,200
676,Frio Regional Hospital,200 S Interstate 35,FRIO,Pearsall,NA,200,NA,NA,NA,975,1175
677,Frio Regional Primary Care & Urgent Care Clinic,801 W Fm 117,FRIO,Dilley,NA,100,NA,100,NA,NA,200
678,Friona Rural Health Clinic,1307 Cleveland Ave Ste B,PARMER,Friona,NA,100,NA,100,NA,NA,200
679,Frisco Fire Department,8601 Gary Burns Dr.,COLLIN,Frisco,NA,300,NA,NA,NA,NA,300
680,Frisco Medical Center,5601 Warren Pkwy,COLLIN,Frisco,NA,1800,100,NA,NA,NA,1900
681,Frontera Healthcare Network-Junction,509 College St,KIMBLE,Junction,NA,100,NA,NA,NA,NA,100
682,Frontera Healthcare Network Mason Clinic,216 E College,MASON,Mason,NA,100,NA,NA,NA,NA,100
683,Ft Bend Family Hlth Ctr Accesshealth - Missouri City,307 Texas Pkwy Ste 100,FORT BEND,Missouri City,NA,NA,NA,NA,NA,100,100
684,Ft Bend Family Hlth Ctr Accesshealth - Stafford,10435 Greenbough Dr Ste 300,FORT BEND,Stafford,NA,NA,NA,NA,NA,100,100
685,Gainesville State School,1379 Fm 678,COOKE,Gainesville,NA,NA,NA,200,NA,NA,200
686,Galo A Rodarte Md Pa,400 E Robinson Ave,EL PASO,El Paso,NA,NA,NA,200,NA,NA,200
687,Galveston County Health District,9850 B Emmett F Lowry EXpy,GALVESTON,Texas City,NA,200,NA,NA,NA,NA,200
688,Garcia's Pharmacy LLC,101 S Stuart Place Rd,CAMERON,Harlingen,NA,100,NA,NA,NA,NA,100
689,Garland Health Center,802 Hopkins St,DALLAS,Garland,NA,NA,NA,100,NA,NA,100
690,Garland Independent Pharmacy,3641 Broadway Blvd,DALLAS,Garland,NA,NA,NA,100,NA,NA,100
691,Gateway Hlth Comm Ctr Inc,2007 S Zapata Hwy,WEBB,Laredo,NA,NA,NA,100,NA,NA,100
692,"Gene McDaniel D.O., P.A",308 west hwy 199,PARKER,Springtown,NA,500,NA,NA,NA,NA,500
693,Genesis Medical Group Springwoods,2255 E Mossy Oaks Rd,HARRIS,Spring,NA,500,NA,NA,NA,NA,500
694,Genoa Healthcare Llc 20076,1601 N Anglin St Ste 113,JOHNSON,Cleburne,NA,NA,NA,100,NA,NA,100
695,Georgetown Family Emergency Room,1210 W. University Ave.,WILLIAMSON,Georgetown,NA,NA,NA,200,NA,NA,200
696,Gibson Pharmacy,815 N OCONNOR RD,DALLAS,Irving,NA,NA,NA,100,NA,NA,100
697,Glenn Lakes Pharmacy Inc,3640 Glenn Lakes Ln,FORT BEND,Missouri City,NA,200,NA,NA,NA,NA,200
698,Glenview Professional Pharmacy ,7640 Glenvie7640 Glenview Dr Ste A,TARRANT,North Richland Hi,NA,100,NA,NA,NA,NA,100
699,Global Health,7720 Spencer Highway,HARRIS,Pasadena,NA,500,NA,NA,NA,NA,500
700,Global Rehab - Fort Worth,6601 Harris Parkway,TARRANT,Fort Worth,NA,100,100,NA,NA,NA,200
701,Gonzaba Medical Group Woodlawn Clinic,902 Bandera Rd,BEXAR,San Antonio,NA,1000,NA,NA,NA,NA,1000
702,Grace Clinic of Lubbock,4515 Marsha Sharp Fwy,LUBBOCK,Lubbock,NA,2100,NA,NA,NA,NA,2100
703,"Graham Heath Care, Pllc",1005 State Highway 16 S,YOUNG,Graham,NA,NA,NA,100,NA,NA,100
704,Graham Pharmacy,1601 W Wall St,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100
705,Granbury Hospital Corporation,1310 Paluxy Rd,HOOD,Granbury,NA,700,NA,NA,NA,NA,700
706,Grayson County Health Department-Sherman,515 N Walnut St,GRAYSON,Sherman,NA,NA,400,NA,NA,NA,400
707,Grimes St Joseph Health Center,210 S Judson St,GRIMES,Navasota,NA,NA,100,NA,NA,NA,100
708,Gruene Lake Medical,948 Gruene Road,COMAL,New Braunfels,NA,NA,NA,100,NA,NA,100
709,Gruesbeck Medical Clinic Cable Ranch Rd,1415 Cable Ranch Rd,BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
710,Gruesbeck Medical Clinic Nw 24th St,323 Nw 24th Street,BEXAR,San Antonio,NA,100,NA,NA,NA,NA,100
711,Guadalupe Regional Medical Center,1215 E Court,GUADALUPE,Seguin,NA,800,NA,NA,NA,NA,800
712,Gulf Coast Health Center Inc.,2548 Memorial Blvd,JEFFERSON,Port Arthur,NA,NA,NA,NA,NA,100,100
713,Hacs-Bautista Pediatric Health Center,902 Frostwood Dr.,HARRIS,Houston,NA,NA,NA,NA,NA,100,100
714,Hamilton General Hospital,400 N Brown St,HAMILTON,Hamilton,NA,NA,400,NA,NA,NA,400
715,Hampton Apothecary Lp,2701 S Hampton Rd. Ste 100,DALLAS,Dallas,NA,100,NA,NA,NA,NA,100
716,Hansford County Hospital District (Hospital),707 Roland St,HANSFORD,Spearman,NA,200,NA,NA,NA,200,400
717,Hardeman County Clinic,404 Mercer St,HARDEMAN,Quanah,NA,NA,NA,100,NA,NA,100
718,HARDEMAN COUNTY MEMORIAL HOSPITAL,402 MERCER ST,HARDEMAN,Quanah,NA,100,NA,NA,NA,NA,100
719,Harlingen Medical Center,5501 S Expressway 77,CAMERON,Harlingen,NA,NA,800,NA,NA,NA,800
720,Harrell A Grand MD,3801 Gaston Ave,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
721,Harris County Hospital District Hchd,2525 Holly Hall St,HARRIS,Houston,NA,NA,200,NA,NA,NA,200
722,Harris County Public Health,2223 West Loop South,HARRIS,Houston,NA,NA,NA,NA,8000,NA,8000
723,Harvest Drug And Gift - Wichita Falls - 4426 Kell Blvd,4426 Kell Blvd,WICHITA,Wichita Falls,NA,100,NA,300,NA,NA,400
724,Harvester Health And Wellness Clinic,701 N Price Rd,GRAY,Pampa,NA,400,NA,NA,NA,NA,400
725,Hatcher Station Health Center,4600 Scyene Rd,DALLAS,Dallas,NA,NA,NA,NA,100,NA,100
726,HCA Houston Healthcare Clear Lake,500 Medical Center Blvd,HARRIS,Webster,NA,400,NA,NA,200,NA,600
